分类,文件/实体,key,差异类型,0.2 (F008-0.2.zip),0.4 (F008-0.4.zip),0.6 (F008-0.6.zip),0.8 (F008-0.8.zip)
工艺参数,Processes/0.12mm Standard@K2 Plus.json,bridge_speed,值不一致,25,50,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,gap_infill_speed,值不一致,50,250,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,infill_wall_overlap,值不一致,30,30%,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,initial_layer_acceleration,值不一致,500,2000,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,initial_layer_infill_speed,值不一致,60,105,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,initial_layer_line_width,值不一致,0.25,0.5,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,initial_layer_print_height,值不一致,0.1,0.2,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,initial_layer_speed,值不一致,40,60,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,inner_wall_line_width,值不一致,0.25,0.45,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,inner_wall_speed,值不一致,150,300,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,internal_bridge_speed,值不一致,70,150%,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,internal_solid_infill_line_width,值不一致,0.22,0.42,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,internal_solid_infill_pattern,值不一致,zig-zag,monotonic,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,internal_solid_infill_speed,值不一致,150,250,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,line_width,值不一致,0.22,0.42,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,outer_wall_line_width,值不一致,0.22,0.42,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,outer_wall_speed,值不一致,100,200,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,overhang_totally_speed,值不一致,25,50,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,prime_tower_width,值不一致,60,40,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,sparse_infill_line_width,值不一致,0.25,0.45,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,sparse_infill_speed,值不一致,120,300,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,speed_limit_to_height,值不一致,,"[[100,150,100,6000],[150,200,80,5500],[200,250,60,5000]]",【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,support_line_width,值不一致,0.2,0.4,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,top_shell_layers,值不一致,7,6,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,top_surface_acceleration,值不一致,2000,5000,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,top_surface_line_width,值不一致,0.22,0.42,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,top_surface_speed,值不一致,100,200,【文件不存在】,【文件不存在】
工艺参数,Processes/0.12mm Standard@K2 Plus.json,wall_loops,值不一致,4,2,【文件不存在】,【文件不存在】
工艺参数,Processes/0.24mm Standard@K2 Plus.json,acceleration_limit_mess,值不一致,【文件不存在】,"[[0.5,1.0,100,6000],[1.0,1.5,80,5500],[1.5,2.0,60,5000]]",,
工艺参数,Processes/0.24mm Standard@K2 Plus.json,bridge_speed,值不一致,【文件不存在】,50,25,25
工艺参数,Processes/0.24mm Standard@K2 Plus.json,gap_infill_speed,值不一致,【文件不存在】,250,50,50
工艺参数,Processes/0.24mm Standard@K2 Plus.json,infill_wall_overlap,值不一致,【文件不存在】,30%,30,30
工艺参数,Processes/0.24mm Standard@K2 Plus.json,inherits,值不一致,【文件不存在】,0.18mm Standard @Creality K2 Plus 0.6 nozzle,0.30mm Standard @Creality K2 Plus 0.6 nozzle,0.18mm Standard @Creality K2 Plus 0.6 nozzle
工艺参数,Processes/0.24mm Standard@K2 Plus.json,initial_layer_acceleration,值不一致,【文件不存在】,2000,500,500
工艺参数,Processes/0.24mm Standard@K2 Plus.json,initial_layer_infill_speed,值不一致,【文件不存在】,105,60,60
工艺参数,Processes/0.24mm Standard@K2 Plus.json,initial_layer_line_width,值不一致,【文件不存在】,0.5,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,initial_layer_print_height,值不一致,【文件不存在】,0.2,0.3,0.4
工艺参数,Processes/0.24mm Standard@K2 Plus.json,initial_layer_speed,值不一致,【文件不存在】,60,40,40
工艺参数,Processes/0.24mm Standard@K2 Plus.json,inner_wall_line_width,值不一致,【文件不存在】,0.45,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,inner_wall_speed,值不一致,【文件不存在】,300,150,150
工艺参数,Processes/0.24mm Standard@K2 Plus.json,internal_bridge_speed,值不一致,【文件不存在】,150%,70,70
工艺参数,Processes/0.24mm Standard@K2 Plus.json,internal_solid_infill_line_width,值不一致,【文件不存在】,0.42,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,internal_solid_infill_speed,值不一致,【文件不存在】,250,150,150
工艺参数,Processes/0.24mm Standard@K2 Plus.json,line_width,值不一致,【文件不存在】,0.42,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,outer_wall_line_width,值不一致,【文件不存在】,0.42,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,outer_wall_speed,值不一致,【文件不存在】,200,100,100
工艺参数,Processes/0.24mm Standard@K2 Plus.json,overhang_3_4_speed,值不一致,【文件不存在】,30,20,20
工艺参数,Processes/0.24mm Standard@K2 Plus.json,overhang_totally_speed,值不一致,【文件不存在】,50,25,25
工艺参数,Processes/0.24mm Standard@K2 Plus.json,prime_tower_width,值不一致,【文件不存在】,40,60,60
工艺参数,Processes/0.24mm Standard@K2 Plus.json,sparse_infill_line_width,值不一致,【文件不存在】,0.45,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,sparse_infill_speed,值不一致,【文件不存在】,250,120,120
工艺参数,Processes/0.24mm Standard@K2 Plus.json,speed_limit_to_height,值不一致,【文件不存在】,"[[100,150,100,6000],[150,200,80,5500],[200,250,60,5000]]",,
工艺参数,Processes/0.24mm Standard@K2 Plus.json,staggered_inner_seams,值不一致,【文件不存在】,0,1,1
工艺参数,Processes/0.24mm Standard@K2 Plus.json,support_line_width,值不一致,【文件不存在】,0.4,0.6,0.8
工艺参数,Processes/0.24mm Standard@K2 Plus.json,top_shell_layers,值不一致,【文件不存在】,5,4,4
工艺参数,Processes/0.24mm Standard@K2 Plus.json,top_surface_acceleration,值不一致,【文件不存在】,5000,2000,2000
工艺参数,Processes/0.24mm Standard@K2 Plus.json,top_surface_line_width,值不一致,【文件不存在】,0.42,0.62,0.82
工艺参数,Processes/0.24mm Standard@K2 Plus.json,top_surface_speed,值不一致,【文件不存在】,200,100,100
